ID,Date,Zone,Lat,Long,Meter Number,Reason for Over Abstraction,HouseHolds,Type of Housing,Main Pipe Length,Daily Abstraction Avg,Water Kiosks,Car Wash and Hotels,Schools,Churches,Farming,Over Abstraction
12,11/5/2018,mirema,0.747331,36.449278,"WT11-6""-07-15274",Htl_Inds,190,single family units,960,142.5,0,0,0,0,4,64
12,11/5/2018,mirema,0.747331,36.449278,"WT11-6""-07-15274",New_Cons,115,single family units,960,86.25,0,0,0,0,4,8
11,11/5/2018,mirema,0.747003,36.452739,WT11-6-08-07022,Other_Acts,69,single family units,1230,51.75,0,0,0,0,4,2
2,15/05/2018,park view,0.745786,36.463575,WT-4''-96-4969,Other_Acts,8,mixed family and single rentals,4230,6,0,0,0,0,2,1
11,16/05/2018,mirema,0.747003,36.452739,WT11-6-08-07022,Other_Acts,69,single family units,1230,51.75,0,0,0,0,4,2
7,16/05/2018,Lower Kayole,0.745989,36.462861,WT-6''-97-3758,0,268,single units rentals,3775,201,0,0,1,5,1,0
9,18/05/2018,Lower Kayole,0.751231,36.468708,WT11-6''-06-1378,Rare_Acts,69,one bedroomed plus,2600,51.75,2,2,0,0,1,1
7,21/05/2018,Lower Kayole,0.745989,36.462861,WT-6''-97-3758,LK_3,45,single units rentals,3775,33.75,0,0,1,5,1,48
12,21/05/2018,mirema,0.747331,36.449278,"WT11-6""-07-15274",LK_3,125,single family units,960,93.75,0,0,0,0,4,8
8,23/05/2018,Lower Kayole,0.748819,36.465983,WT11-6''-2949,New_Cons,181,Single Units rentals,1710,135.75,0,0,0,3,1,8
9,23/05/2018,Lower Kayole,0.751231,36.468708,WT11-6''-06-1378,LK_3,69,one bedroomed plus,2600,51.75,2,2,0,0,1,8
12,23/05/2018,mirema,0.747331,36.449278,"WT11-6""-07-15274",LK_1,115,single family units,960,86.25,0,0,0,0,4,3
9,24/05/2018,Lower Kayole,0.751231,36.468708,WT11-6''-06-1378,LK_3,220,one bedroomed plus,2600,165,2,2,0,0,1,8
12,24/05/2018,mirema,0.747331,36.449278,"WT11-6""-07-15274",Mt_Pb,125,single family units,960,93.75,0,0,0,0,4,2
8,31/05/2018,Lower Kayole,0.748819,36.465983,WT11-6''-2949,Other_Acts,181,Single Units rentals,1710,135.75,0,0,0,3,1,2
